id;name;light;number;address;activate;no_available;total_bases;dock_bikes;free_bases;reservations_count;geometry;datetime
139;San Germán;0;155;Calle del General Yagüe nº 57;1;0;24;6;16;0;{'type': 'Point', 'coordinates': [-3.7009675, 40.4572824]};2020-12-08T20:15:09.899130
140;Sor Ángela de la Cruz;0;156;Calle Sor Ángela de la Cruz nº 2;1;0;24;5;18;0;{'type': 'Point', 'coordinates': [-3.691533, 40.4592351]};2020-12-08T20:15:09.899130
137;Castellana 164;2;157;Paseo de la Castellana nº 164;1;0;24;10;13;0;{'type': 'Point', 'coordinates': [-3.6894151, 40.4591366]};2020-12-08T20:15:09.899130
138;Alberto Alcocer;2;158;Avenida de Alberto Alcocer nº 22;1;0;24;10;12;0;{'type': 'Point', 'coordinates': [-3.684715, 40.4585318]};2020-12-08T20:15:09.899130
173;Paseo de la Habana 63;2;159;Paseo de la Habana nº 63;1;0;24;16;8;0;{'type': 'Point', 'coordinates': [-3.6835926, 40.4543852]};2020-12-08T20:15:09.899130
172;Colombia;0;160;Calle Colombia nº 7;1;0;24;3;18;0;{'type': 'Point', 'coordinates': [-3.6763439, 40.4572466]};2020-12-08T20:15:09.899130
132;Paseo de la Florida;1;161;Paseo de la Florida nº 8;1;0;27;24;1;0;{'type': 'Point', 'coordinates': [-3.7224983, 40.4219665]};2020-12-08T20:15:09.899130
133;Metro Pirámides;0;162;Paseo de los Olmos nº 28;1;0;24;3;21;0;{'type': 'Point', 'coordinates': [-3.7108108, 40.4034076]};2020-12-08T20:15:09.899130
134;Paseo de la Esperanza;2;163;Paseo de la Esperanza nº 2;1;0;21;9;10;0;{'type': 'Point', 'coordinates': [-3.7064516, 40.4035988]};2020-12-08T20:15:09.899130
136;Paseo de las Delicias;2;164;Paseo de las Delicias nº 92-94;1;0;24;10;13;0;{'type': 'Point', 'coordinates': [-3.6945025, 40.3972616]};2020-12-08T20:15:09.899130
135;Entrada Matadero;2;165;Paseo de la Chopera nº 14;1;0;27;16;9;0;{'type': 'Point', 'coordinates': [-3.6975708, 40.3928821]};2020-12-08T20:15:09.899130
174;Segovia 26;0;166;Calle Segovia, 26;1;0;24;6;16;1;{'type': 'Point', 'coordinates': [-3.7135833, 40.4138333]};2020-12-08T20:15:09.899130
175;Segovia 45;2;167;Calle Segovia, 45;1;0;24;7;15;1;{'type': 'Point', 'coordinates': [-3.717487, 40.413736]};2020-12-08T20:15:09.899130
176;Batalla del Salado;2;168;Pº Sta. Mª Cabeza, 29-31;1;0;24;10;13;0;{'type': 'Point', 'coordinates': [-3.6959166, 40.4044722]};2020-12-08T20:15:09.899130
177;Pirámides;0;169;Toledo, 181;1;0;24;5;18;0;{'type': 'Point', 'coordinates': [-3.7138055, 40.4016111]};2020-12-08T20:15:09.899130
178;Paseo de la Esperanza;0;170;Pº Esperanza, 21;1;0;24;2;21;0;{'type': 'Point', 'coordinates': [-3.7043611, 40.401]};2020-12-08T20:15:09.899130
179;Embajadores-Cáceres;0;171;Embajadores, 101;1;0;24;6;17;0;{'type': 'Point', 'coordinates': [-3.6983888, 40.39975]};2020-12-08T20:15:09.899130
180;Delicias;0;172;Bustamante, 1;1;0;24;4;18;0;{'type': 'Point', 'coordinates': [-3.6935833, 40.4008888]};2020-12-08T20:15:09.899130
181;Puente Praga;0;173;Pº Esperanza, 59;1;0;24;2;20;1;{'type': 'Point', 'coordinates': [-3.7023918, 40.3981798]};2020-12-08T20:15:09.899130
182;Madrid Río-Yeserías;0;174;Pº Yeserías 45;1;0;27;6;21;0;{'type': 'Point', 'coordinates': [-3.7065277, 40.3974444]};2020-12-08T20:15:09.899130
183;Jaime el Conquistador;2;175;Jaime I el Conquistador, 30;1;0;21;8;13;0;{'type': 'Point', 'coordinates': [-3.6983055, 40.3962222]};2020-12-08T20:15:09.899130
184;Beata;2;176;Alicante, 3;1;0;24;10;12;0;{'type': 'Point', 'coordinates': [-3.6937222, 40.39425]};2020-12-08T20:15:09.899130
185;Legazpi;2;177;Bolivar, 3;1;0;24;14;8;0;{'type': 'Point', 'coordinates': [-3.6941944, 40.3914722]};2020-12-08T20:15:09.899130
186;Junta Municipal Retiro;1;178;León Gil de Palacios, 5;1;0;24;19;4;0;{'type': 'Point', 'coordinates': [-3.6788343, 40.4029202]};2020-12-08T20:15:09.899130
187;Puente de Vallecas;1;179;Avda. Albufera 6 con Antonia Calas ;1;0;24;20;3;0;{'type': 'Point', 'coordinates': [-3.66925, 40.3979722]};2020-12-08T20:15:09.899130
188;Méndez Álvaro;2;180;Retama, 5;1;0;24;9;14;0;{'type': 'Point', 'coordinates': [-3.6758888, 40.3941388]};2020-12-08T20:15:09.899130
189;Retiro-Ibiza;1;181;Ibiza, 18;1;0;27;20;6;0;{'type': 'Point', 'coordinates': [-3.6766111, 40.41825]};2020-12-08T20:15:09.899130
190;Parque Roma;2;182;Sainz de Baranda, frente al nº 107;1;0;24;15;8;0;{'type': 'Point', 'coordinates': [-3.6657777, 40.4186666]};2020-12-08T20:15:09.899130
191;Doctor Esquerdo-Hermosilla;0;183;Hermosilla, 135;1;0;24;4;17;0;{'type': 'Point', 'coordinates': [-3.669339, 40.425635]};2020-12-08T20:15:09.899130
192;Marqués de Zafra;0;184;Pº Marqués de Zafra, 24;1;0;24;5;18;0;{'type': 'Point', 'coordinates': [-3.6653055, 40.426]};2020-12-08T20:15:09.899130
193;Quinta Fuente del Berro;0;185;Sancho Dávila esq. Pº Marqués de Zafra;1;0;24;4;17;0;{'type': 'Point', 'coordinates': [-3.6615277, 40.4250833]};2020-12-08T20:15:09.899130
194;General Pardiñas;0;186;General Pardiñas, 56;1;0;24;0;19;0;{'type': 'Point', 'coordinates': [-3.6782777, 40.4290555]};2020-12-08T20:15:09.899130
195;Alcalá-Ventas;0;187;Alejandro González, 1;1;0;24;5;18;0;{'type': 'Point', 'coordinates': [-3.6638888, 40.4301666]};2020-12-08T20:15:09.899130
196;Puente de Ventas;0;188;Avda. Daroca, 2;1;0;27;3;20;1;{'type': 'Point', 'coordinates': [-3.6590555, 40.4311944]};2020-12-08T20:15:09.899130
197;Avenida Donostiarra;0;189;Virgen de la Alegria 18;1;0;24;2;21;0;{'type': 'Point', 'coordinates': [-3.6554918, 40.4351256]};2020-12-08T20:15:09.899130
198;Velázquez-Diego de León;1;190;Velázquez, 91;1;0;24;15;6;0;{'type': 'Point', 'coordinates': [-3.6835833, 40.4343333]};2020-12-08T20:15:09.899130
199;Diego de león;0;191;Alonso Heredia, 1;1;0;18;3;14;0;{'type': 'Point', 'coordinates': [-3.674, 40.4346388]};2020-12-08T20:15:09.899130
200;Avenida de los Toreros;0;192;Avda. Toreros,3;1;0;27;4;23;0;{'type': 'Point', 'coordinates': [-3.6714166, 40.4318611]};2020-12-08T20:15:09.899130
201;Ventas;0;193;Avda. Toreros, 49;1;0;27;4;20;0;{'type': 'Point', 'coordinates': [-3.6655555, 40.4324722]};2020-12-08T20:15:09.899130
202;Avenida de América 2;0;194;Francisco Silvela 86;1;0;24;3;20;0;{'type': 'Point', 'coordinates': [-3.6772222, 40.43725]};2020-12-08T20:15:09.899130
203;Avenida de América 1;0;195;Padre Indalecio Hernandez, 1;1;0;24;4;19;0;{'type': 'Point', 'coordinates': [-3.6754444, 40.4392222]};2020-12-08T20:15:09.899130
204;Prosperidad;2;196;Suero de Quiñones, 2;1;0;24;9;15;0;{'type': 'Point', 'coordinates': [-3.6751388, 40.4441388]};2020-12-08T20:15:09.899130
205;Parque Berlín;2;197;Avenida Concha Espina, 34 ;1;0;24;17;6;0;{'type': 'Point', 'coordinates': [-3.6780555, 40.4515833]};2020-12-08T20:15:09.899130
206;Rubén Darío;0;198;Gta. Rubén Darío 2;1;0;24;2;22;0;{'type': 'Point', 'coordinates': [-3.6915555, 40.4331111]};2020-12-08T20:15:09.899130
207;Fernando el Católico;0;199;Fernando el Católico, 61;1;0;27;4;19;0;{'type': 'Point', 'coordinates': [-3.7149166, 40.4343611]};2020-12-08T20:15:09.899130
208;Quevedo;2;200;Gta. Quevedo, 5;1;0;24;12;9;0;{'type': 'Point', 'coordinates': [-3.7046666, 40.4336944]};2020-12-08T20:15:09.899130
209;Canal;0;201;José Abascal, frene al nº 2;1;0;24;5;18;0;{'type': 'Point', 'coordinates': [-3.7038333, 40.4386944]};2020-12-08T20:15:09.899130
210;Parque Santander;1;202;Calle Santander esq. Avda. Filipinas;1;0;24;16;3;0;{'type': 'Point', 'coordinates': [-3.7080833, 40.4411388]};2020-12-08T20:15:09.899130
211;San Francisco de Sales;1;203;General Ampudia, 2;1;0;24;17;7;0;{'type': 'Point', 'coordinates': [-3.7144722, 40.44175]};2020-12-08T20:15:09.899130
212;Cuatro Caminos 2;0;204;Doctor Santero 1;1;0;24;3;16;0;{'type': 'Point', 'coordinates': [-3.7041666, 40.4476666]};2020-12-08T20:15:09.899130
213;Estrecho;0;205;Navarra, 1;1;0;24;3;21;0;{'type': 'Point', 'coordinates': [-3.7032777, 40.4535]};2020-12-08T20:15:09.899130
214;Metro Tetuán;0;206;Marqués de Viana, 3;1;0;24;5;18;0;{'type': 'Point', 'coordinates': [-3.6989925, 40.4607502]};2020-12-08T20:15:09.899130
215;Remonta;0;207;Azucenas, 1;1;0;18;4;11;0;{'type': 'Point', 'coordinates': [-3.6973333, 40.4630277]};2020-12-08T20:15:09.899130
216;Plaza de Castilla;0;208;Paseo Castellana, 216;1;0;24;5;13;0;{'type': 'Point', 'coordinates': [-3.6886388, 40.4663611]};2020-12-08T20:15:09.899130
217;Plaza de Castilla 2;2;209;Paseo Castellana (Fundación Canal);1;0;24;6;14;0;{'type': 'Point', 'coordinates': [-3.6887722, 40.4656779]};2020-12-08T20:15:09.899130
218;Tres Cruces;1;210;Tres Cruces 7;1;0;27;19;7;0;{'type': 'Point', 'coordinates': [-3.7026735, 40.419674]};2020-12-08T20:15:09.899130
219;Desengaño;1;211;Desengaño 1;1;0;24;15;6;0;{'type': 'Point', 'coordinates': [-3.70239, 40.42059]};2020-12-08T20:15:09.899130
220;Marqués de Vadillo;1;212;Marqués de Vadillo, 9;1;0;24;18;5;0;{'type': 'Point', 'coordinates': [-3.716591, 40.398247]};2020-12-08T20:15:09.899130
221;Glorieta de Cádiz;1;213;Antonio López, 129;1;0;24;19;5;0;{'type': 'Point', 'coordinates': [-3.70017, 40.38895]};2020-12-08T20:15:09.899130
222;Condesa de Venadito;2;214;Condesa de Venadito, 2 / Calle Albacete;1;0;24;7;13;0;{'type': 'Point', 'coordinates': [-3.65741, 40.44315]};2020-12-08T20:15:09.899130
223;Gutierre de Cetina;2;215;Gutierre de Cetina, 77;1;0;24;13;6;0;{'type': 'Point', 'coordinates': [-3.640994, 40.429706]};2020-12-08T20:15:09.899130
224;Puerta del Ángel;0;216;Plaza Puerta del Ángel, 4;1;0;24;6;16;0;{'type': 'Point', 'coordinates': [-3.728318, 40.413764]};2020-12-08T20:15:09.899130
225;Pedro Rico;1;217;Pedro Rico, 4;1;0;24;17;6;0;{'type': 'Point', 'coordinates': [-3.688463, 40.481086]};2020-12-08T20:15:09.899130
226;Camino Vinateros;2;218;Camino Vinateros, 28;1;0;24;14;9;0;{'type': 'Point', 'coordinates': [-3.65779, 40.41053]};2020-12-08T20:15:09.899130
227;Marroquina;0;219;Camino Vinateros, 108;1;0;24;6;17;0;{'type': 'Point', 'coordinates': [-3.646697, 40.408264]};2020-12-08T20:15:09.899130
228;Plaza del Encuentro;0;220;Calle Arroyo de las Pilillas, 6;1;0;24;5;18;0;{'type': 'Point', 'coordinates': [-3.65122, 40.40617]};2020-12-08T20:15:09.899130
229;Pavones;2;221;Hacienda de Pavones, 342;1;0;24;9;15;0;{'type': 'Point', 'coordinates': [-3.634587, 40.400368]};2020-12-08T20:15:09.899130
230;Antonio López;2;222;Eugenio Caxes, frente al 12;1;0;24;11;13;0;{'type': 'Point', 'coordinates': [-3.7026789, 40.3917871]};2020-12-08T20:15:09.899130
231;Ermita Santo;0;223;Paseo de la Ermita del Santo, 48;1;0;24;2;21;0;{'type': 'Point', 'coordinates': [-3.7244893989507686, 40.406837862773465]};2020-12-08T20:15:09.899130
232;Caramuel;0;224;Caramuel, 51;1;0;27;0;20;0;{'type': 'Point', 'coordinates': [-3.728533714316331, 40.40913630273305]};2020-12-08T20:15:09.899130
