id;name;light;number;address;activate;no_available;total_bases;dock_bikes;free_bases;reservations_count;geometry;datetime
48;Plaza de Nelson Mandela;2;44;Calle Mesón de Paredes nº 35;1;0;21;10;11;0;{'type': 'Point', 'coordinates': [-3.7040666, 40.4097617]};2020-12-08T20:15:09.899130
49;Puerta de Toledo;2;45;Glorieta de la Puerta de Toledo nº 1;1;0;21;13;7;0;{'type': 'Point', 'coordinates': [-3.7110513, 40.4070358]};2020-12-08T20:15:09.899130
50;Ribera de Curtidores;2;46;Calle Ribera de Curtidores nº 28;1;0;24;9;11;0;{'type': 'Point', 'coordinates': [-3.7071259, 40.4053153]};2020-12-08T20:15:09.899130
51;Embajadores 1;0;47;Glorieta de Embajadores nº 6;1;0;24;4;17;0;{'type': 'Point', 'coordinates': [-3.7028265, 40.4047851]};2020-12-08T20:15:09.899130
52;Embajadores 2;0;48;Glorieta de Embajadores nº 2;1;0;24;4;20;0;{'type': 'Point', 'coordinates': [-3.7022591, 40.4056107]};2020-12-08T20:15:09.899130
53;Casa Encendida;0;49;Ronda de Atocha nº 34;1;0;24;6;17;1;{'type': 'Point', 'coordinates': [-3.6992759, 40.4060941]};2020-12-08T20:15:09.899130
54;Museo Reina Sofía;2;50;Calle Santa Isabel nº 57;1;0;24;16;7;0;{'type': 'Point', 'coordinates': [-3.6933463, 40.4083684]};2020-12-08T20:15:09.899130
55;Ronda de Atocha;2;51;Ronda de Atocha nº 2;1;0;27;12;12;0;{'type': 'Point', 'coordinates': [-3.6935205, 40.4075606]};2020-12-08T20:15:09.899130
56;Plaza de Santa Ana;1;52;Plaza de Santa Ana nº 10;1;0;24;8;1;0;{'type': 'Point', 'coordinates': [-3.7007164, 40.4144226]};2020-12-08T20:15:09.899130
57;Plaza de Lavapiés;2;53;Calle Valencia nº 1;1;0;24;15;8;0;{'type': 'Point', 'coordinates': [-3.7007111, 40.4083061]};2020-12-08T20:15:09.899130
58;Barceló;1;54;Calle Barceló nº 7;1;0;21;20;1;0;{'type': 'Point', 'coordinates': [-3.700423, 40.4266828]};2020-12-08T20:15:09.899130
59;Plaza de San Ildefonso;2;55;Plaza de San Ildefonso nº 3;1;0;24;11;9;1;{'type': 'Point', 'coordinates': [-3.7020842, 40.4239757]};2020-12-08T20:15:09.899130
60;Plaza del Carmen ;1;56;Plaza del Carmen nº 1;1;0;24;22;1;0;{'type': 'Point', 'coordinates': [-3.7032414, 40.4184192]};2020-12-08T20:15:09.899130
61;Santa Cruz del Marcenado;2;57;Calle Santa Cruz del Marcenado nº 24;1;0;24;9;12;0;{'type': 'Point', 'coordinates': [-3.7126299, 40.4295658]};2020-12-08T20:15:09.899130
62;Augusto Figueroa;1;58;Calle Augusto Figueroa nº 33;1;0;24;18;6;0;{'type': 'Point', 'coordinates': [-3.697895, 40.4222862]};2020-12-08T20:15:09.899130
63;Plaza de Juan Pujol;2;59;Calle Espíritu Santo nº 30;1;0;21;10;9;0;{'type': 'Point', 'coordinates': [-3.7043418, 40.4255495]};2020-12-08T20:15:09.899130
64;Plaza de la Independencia;2;60;Plaza de la Independencia nº 6;1;0;24;15;8;0;{'type': 'Point', 'coordinates': [-3.688398, 40.419752]};2020-12-08T20:15:09.899130
65;Narváez;0;61;Calle O'Donnell nº 28;1;0;24;1;22;0;{'type': 'Point', 'coordinates': [-3.6752045, 40.4213983]};2020-12-08T20:15:09.899130
66;O'Donnell;0;62;Calle O'Donnell nº 50;1;0;24;2;21;0;{'type': 'Point', 'coordinates': [-3.6724968, 40.4213148]};2020-12-08T20:15:09.899130
67;Ibiza;2;63;Calle Ibiza nº 62;1;0;24;12;11;1;{'type': 'Point', 'coordinates': [-3.6708959, 40.4179237]};2020-12-08T20:15:09.899130
69;Antonio Maura;1;65;Calle Antonio Maura nº 15;1;0;24;20;2;0;{'type': 'Point', 'coordinates': [-3.6894193, 40.4166834]};2020-12-08T20:15:09.899130
71;Almadén;1;67;Calle Almadén nº 28;1;0;24;17;6;0;{'type': 'Point', 'coordinates': [-3.693225, 40.4108472]};2020-12-08T20:15:09.899130
72;Espalter;1;68;Calle Espalter nº 1;1;0;21;21;0;0;{'type': 'Point', 'coordinates': [-3.6912023, 40.4128372]};2020-12-08T20:15:09.899130
73;Puerta del Ángel Caído;2;69;Avenida de Alfonso XII nº 54;1;0;27;11;14;1;{'type': 'Point', 'coordinates': [-3.688822, 40.409808]};2020-12-08T20:15:09.899130
74;Puerta del Doce de Octubre;2;70;Avenida de Menéndez Pelayo nº 63;1;0;24;7;15;0;{'type': 'Point', 'coordinates': [-3.6779232, 40.4153053]};2020-12-08T20:15:09.899130
75;Doce de Octubre;2;71;Calle Doce de Octubre nº 28;1;0;24;15;7;0;{'type': 'Point', 'coordinates': [-3.6738865, 40.4159569]};2020-12-08T20:15:09.899130
76;Sainz de Baranda;2;72;Calle Doctor Esquerdo nº 99;1;0;24;10;13;0;{'type': 'Point', 'coordinates': [-3.6691838, 40.4157413]};2020-12-08T20:15:09.899130
77;Plaza de los Astros;0;73;Avenida de Nazaret nº 7;1;0;24;5;16;0;{'type': 'Point', 'coordinates': [-3.6689089, 40.4114475]};2020-12-08T20:15:09.899130
78;Puerta del Pacífico ;2;74;Avenida de Menéndez Pelayo nº 73;1;0;24;10;11;0;{'type': 'Point', 'coordinates': [-3.6766813, 40.4117627]};2020-12-08T20:15:09.899130
79;Menéndez Pelayo;0;75;Avenida de Menéndez Pelayo nº 90;1;0;24;6;17;0;{'type': 'Point', 'coordinates': [-3.6784838, 40.4082805]};2020-12-08T20:15:09.899130
80;Puerta de Mariano de Cavia;1;76;Avenida del Mediterráneo nº 19;1;0;24;19;5;0;{'type': 'Point', 'coordinates': [-3.6751352, 40.4071304]};2020-12-08T20:15:09.899130
81;Conde de Casal;0;77;Plaza del Conde de Casal nº 8;1;0;22;5;16;0;{'type': 'Point', 'coordinates': [-3.670422, 40.40635]};2020-12-08T20:15:09.899130
82;Pedro Bosch;2;78;Calle Cerro de la Plata nº 2;1;0;24;10;13;0;{'type': 'Point', 'coordinates': [-3.6744, 40.400789]};2020-12-08T20:15:09.899130
83;Puerta de Granada;0;79;Avenida de Menéndez Pelayo nº 38;1;0;24;5;17;0;{'type': 'Point', 'coordinates': [-3.6803874, 40.4051451]};2020-12-08T20:15:09.899130
84;Atocha A;2;80a;Paseo de la Infanta Isabel nº 3;1;0;24;11;12;0;{'type': 'Point', 'coordinates': [-3.6902255, 40.4075685]};2020-12-08T20:15:09.899130
85;Atocha B;1;80b;Paseo de la Infanta Isabel nº 3;1;0;27;19;7;0;{'type': 'Point', 'coordinates': [-3.6901234, 40.4074902]};2020-12-08T20:15:09.899130
86;Cuesta de Moyano;2;81;Plaza del Emperador Carlos V nº 11;1;0;24;12;11;0;{'type': 'Point', 'coordinates': [-3.691987, 40.409297]};2020-12-08T20:15:09.899130
87;Niño Jesús;2;82;Calle Doctor Esquerdo nº 161;1;0;24;14;10;0;{'type': 'Point', 'coordinates': [-3.6697526, 40.4084556]};2020-12-08T20:15:09.899130
88;Pío Baroja;2;83;Calle Pío Baroja nº 10;1;0;24;12;11;0;{'type': 'Point', 'coordinates': [-3.6745323, 40.4132995]};2020-12-08T20:15:09.899130
89;Valderribas;0;84;Calle Doctor Esquerdo nº 191;1;0;24;6;17;0;{'type': 'Point', 'coordinates': [-3.6726019, 40.4032501]};2020-12-08T20:15:09.899130
90;Puerta de Madrid;1;85;Avenida de Menéndez Pelayo nº 11;1;0;27;22;3;0;{'type': 'Point', 'coordinates': [-3.680008, 40.421501]};2020-12-08T20:15:09.899130
91;Cibeles;1;86;Paseo del Prado nº 1;1;0;21;14;3;0;{'type': 'Point', 'coordinates': [-3.6933498, 40.4186516]};2020-12-08T20:15:09.899130
92;Ayala;1;87;Calle Ayala nº 44;1;0;24;20;3;0;{'type': 'Point', 'coordinates': [-3.6832566, 40.427736]};2020-12-08T20:15:09.899130
93;Embajada de Italia;2;88;Calle Velázquez nº 75;1;0;24;12;12;0;{'type': 'Point', 'coordinates': [-3.6838303, 40.4313576]};2020-12-08T20:15:09.899130
94;Conde Peñalver;0;89;Calle Ayala nº 102;1;0;24;2;21;0;{'type': 'Point', 'coordinates': [-3.6752024, 40.4272582]};2020-12-08T20:15:09.899130
